School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference
University of Notre Dame du Lac,Notre Dame,Fighting Irish,Notre Dame,IN,Private,FBS,Atlantic Coast Conference
University of Oklahoma,Oklahoma,Sooners,Norman,OK,Public,FBS,Big 12 Conference
University of Oregon,Oregon,Ducks,Eugene,OR,Public,FBS,Pac-12 Conference
University of Pennsylvania,Penn,Quakers,Philadelphia,PA,Private,FCS,Ivy League
University of Pittsburgh,Pittsburgh,Panthers,Pittsburgh,PA,Public,FBS,Atlantic Coast Conference
University of Portland,Portland,Pilots,Portland,OR,Private,Non-football,West Coast Conference
University of Rhode Island,Rhode Island,Rams,Kingston,RI,Public,FCS,Atlantic 10 Conference
University of Richmond,Richmond,Spiders,Richmond,VA,Private,FCS,Atlantic 10 Conference
University of San Diego,San Diego,Toreros,San Diego,CA,Private,FCS,West Coast Conference
University of San Francisco,San Francisco,Dons,San Francisco,CA,Private,Non-football,West Coast Conference
University of South Alabama,South Alabama,Jaguars,Mobile,AL,Public,FBS,Sun Belt Conference
University of South Carolina,South Carolina,Gamecocks,Columbia,SC,Public,FBS,Southeastern Conference
University of South Carolina Upstate,USC Upstate,Spartans,Spartanburg,SC,Public,Non-football,Big South Conference
University of South Dakota,South Dakota,Coyotes,Vermillion,SD,Public,FCS,Summit League
University of Southern California,USC,Trojans,Los Angeles,CA,Private,FBS,Pac-12 Conference
University of Southern Mississippi,Southern Miss,Golden Eagles,Hattiesburg,MS,Public,FBS,Sun Belt Conference
University of South Florida,South Florida,Bulls,Tampa,FL,Public,FBS,American Athletic Conference
University of the Incarnate Word,Incarnate Word,Cardinals,San Antonio,TX,Private,FCS,Southland Conference
University of the Pacific,Pacific,Tigers,Stockton,CA,Private,Non-football,West Coast Conference
University of Toledo,Toledo,Rockets,Toledo,OH,Public,FBS,Mid-American Conference
University of Utah,Utah,Utes,Salt Lake City,UT,Public,FBS,Pac-12 Conference
University of Virginia,Virginia,Cavaliers,Charlottesville,VA,Public,FBS,Atlantic Coast Conference
University of Washington,Washington,Huskies,Seattle,WA,Public,FBS,Pac-12 Conference
University of Wisconsin–Green Bay,Green Bay,Phoenix,Green Bay,WI,Public,Non-football,Horizon League
University of Wisconsin–Madison,Wisconsin,Badgers,Madison,WI,Public,FBS,Big Ten Conference
University of Wisconsin–Milwaukee,Milwaukee,Panthers,Milwaukee,WI,Public,Non-football,Horizon League
University of Wyoming,Wyoming,Cowboys,Laramie,WY,Public,FBS,Mountain West Conference
Utah State University,Utah State,Aggies,Logan,UT,Public,FBS,Mountain West Conference
Utah Valley University,Utah Valley,Wolverines,Orem,UT,Public,Non-football,Western Athletic Conference
Valparaiso University,Valparaiso,Beacons,Valparaiso,IN,Private,FCS,Missouri Valley Conference
Vanderbilt University,Vanderbilt,Commodores,Nashville,TN,Private,FBS,Southeastern Conference
Villanova University,Villanova,Wildcats,Villanova,PA,Private,FCS,Big East Conference
Virginia Commonwealth University,VCU,Rams,Richmond,VA,Public,Non-football,Atlantic 10 Conference
Virginia Military Institute,VMI,Keydets,Lexington,VA,Public,FCS,Southern Conference
Virginia Polytechnic Institute and State University,Virginia Tech,Hokies,Blacksburg,VA,Public,FBS,Atlantic Coast Conference
Wagner College,Wagner,Seahawks,Staten Island,NY,Private,FCS,Northeast Conference
Wake Forest University,Wake Forest,Demon Deacons,Winston-Salem,NC,Private,FBS,Atlantic Coast Conference
Washington State University,Washington State,Cougars,Pullman,WA,Public,FBS,Pac-12 Conference
Weber State University,Weber State,Wildcats,Ogden,UT,Public,FCS,Big Sky Conference
Western Carolina University,Western Carolina,Catamounts,Cullowhee,NC,Public,FCS,Southern Conference
Western Illinois University,Western Illinois,Leathernecks,Macomb,IL,Public,FCS,Ohio Valley Conference
Western Kentucky University,Western Kentucky,Hilltoppers,Bowling Green,KY,Public,FBS,Conference USA
Western Michigan University,Western Michigan,Broncos,Kalamazoo,MI,Public,FBS,Mid-American Conference
West Virginia University,West Virginia,Mountaineers,Morgantown,WV,Public,FBS,Big 12 Conference
Wichita State University,Wichita State,Shockers,Wichita,KS,Public,Non-football,American Athletic Conference
William Marsh Rice University,Rice,Owls,Houston,TX,Private,FBS,American Athletic Conference
Winthrop University,Winthrop,Eagles,Rock Hill,SC,Public,Non-football,Big South Conference
Wofford College,Wofford,Terriers,Spartanburg,SC,Private,FCS,Southern Conference
Wright State University,Wright State,Raiders,Dayton,OH,Public,Non-football,Horizon League
Xavier University,Xavier,Musketeers,Cincinnati,OH,Private,Non-football,Big East Conference
Yale University,Yale,Bulldogs,New Haven,CT,Private,FCS,Ivy League
Youngstown State University,Youngstown State,Penguins,Youngstown,OH,Public,FCS,Horizon League
Le Moyne College,Le Moyne,Dolphins,DeWitt,NY,Private,Non-football,Northeast Conference
Lindenwood University,Lindenwood,Lions,St. Charles,MO,Private,FCS,Ohio Valley Conference
Queens University of Charlotte,Queens,Royals,Charlotte,NC,Private,Non-football,ASUN Conference
Stonehill College,Stonehill,Skyhawks,Easton,MA,Private,FCS,Northeast Conference
Tarleton State University,Tarleton,Texans,Stephenville,TX,Public,FCS,Western Athletic Conference
Texas A&M University–Commerce,Commerce,Lions,Commerce,TX,Public,FCS,Southland Conference
"University of California, San Diego",UCSD,Toreros,San Diego,CA,Public,Non-football,Big West
University of Southern Indiana,Southern Indiana,Screaming Eagles,Evansville,IN,Public,Non-football,Ohio Valley Conference
University of St. Thomas,Saint Thomas,Tommies,St. Paul,MN,Private,FCS,Summit League
Utah Tech University,Utah Tech,Trailblazers,St. George,UT,Public,FCS,Western Athletic Conference
